experiment,Line-Treatment,DT inflection,StDev_inf,DT interval,StDev_int,Lab strain,Strain,Treatment,Strain*Treatment,Time_0,Time_0.5,Time_1,Time_1.5,Time_2,Time_2.5,Time_3,Time_3.5,Time_4,Time_4.5,Time_5,Time_5.5,Time_6,Time_6.5,Time_7,Time_7.5,Time_8,Time_8.5,Time_9,Time_9.5,Time_10,Time_10.5,Time_11,Time_11.5,Time_12,Time_12.5,Time_13,Time_13.5,Time_14,Time_14.5,Time_15,Time_15.5,Time_16,Time_16.5,Time_17,Time_17.5,Time_18,Time_18.5,Time_19,Time_19.5,Time_20
SGRP_mTORinhibitsSCREEN_SET2_GDC_MGK_081917(fixed with adding wr,yML560-vehicle,78.03923663,7.289135784,89.70043083,0.255974141,yML 560,UC5,2.5% DMSO,UC5*2.5% DMSO,0,0.027333333,0.030333333,0.039666667,0.048,0.058,0.073,0.084666667,0.106333333,0.136333333,0.171,0.223666667,0.275666667,0.346333333,0.428333333,0.527,0.624333333,0.731666667,0.837333333,0.944,1.039333333,1.093,1.109,1.125666667,1.147666667,1.172666667,1.205333333,1.235,1.264666667,1.290666667,1.324666667,1.353333333,1.379666667,1.404666667,1.430333333,1.449333333,1.471666667,1.494666667,1.514666667,1.529666667,1.55
SGRP_mTORinhibitsSCREEN_SET2_GDC_MGK_081917(fixed with adding wr,yML561-100 uM GDC0941,62.63211967,15.45235958,115.973116,22.77761613,yML 561,T73,100 uM GDC0941,T73*100 uM GDC0941,0,0.061,0.063333333,0.066666667,0.078,0.097,0.130333333,0.148,0.205666667,0.235,0.307333333,0.372,0.465,0.569,0.691,0.810666667,0.934,1.056,1.158,1.224333333,1.25,1.260333333,1.28,1.300333333,1.327333333,1.351,1.383666667,1.414666667,1.443333333,1.469333333,1.498333333,1.52,1.543666667,1.564,1.582666667,1.6,1.616666667,1.635,1.646333333,1.664,1.678
SGRP_mTORinhibitsSCREEN_SET2_GDC_MGK_081917(fixed with adding wr,yML561-vehicle,61.66213645,12.30184259,89.4868409,11.37571879,yML 561,T73,2.5% DMSO,T73*2.5% DMSO,0,0.029,0.029333333,0.042666667,0.062666667,0.075333333,0.103,0.125,0.163,0.206666667,0.26,0.331666667,0.455,0.522,0.643,0.767333333,0.893666667,1.018333333,1.125666667,1.203666667,1.230333333,1.245,1.263666667,1.284,1.31,1.335,1.368333333,1.398666667,1.428666667,1.457,1.484666667,1.507666667,1.533,1.552,1.571666667,1.588666667,1.607666667,1.624333333,1.641333333,1.651333333,1.669333333
SGRP_mTORinhibitsSCREEN_SET2_GDC_MGK_081917(fixed with adding wr,yML562-100 uM GDC0941,93.54178075,2.442469487,104.9873891,1.151659451,yML 562,CLIB215,100 uM GDC0941,CLIB215*100 uM GDC0941,0,0.05,0.065,0.065333333,0.069333333,0.077333333,0.091,0.108666667,0.133666667,0.161333333,0.198666667,0.242,0.297333333,0.36,0.436,0.519666667,0.609333333,0.717,0.823666667,0.927,1.009,1.06,1.090333333,1.101333333,1.112,1.124,1.146333333,1.169333333,1.199,1.227333333,1.260333333,1.290666667,1.324333333,1.351333333,1.380666667,1.405666667,1.426666667,1.456333333,1.474666667,1.494,1.513
SGRP_mTORinhibitsSCREEN_SET2_GDC_MGK_081917(fixed with adding wr,yML562-vehicle,91.4293864,3.399882999,100.0360647,0.393518935,yML 562,CLIB215,2.5% DMSO,CLIB215*2.5% DMSO,0,0.027,0.032666667,0.039,0.046333333,0.058333333,0.073333333,0.092333333,0.114,0.140333333,0.174,0.215666667,0.265666667,0.328666667,0.396666667,0.483666667,0.569333333,0.68,0.785333333,0.9,1.000333333,1.037666667,1.050333333,1.063333333,1.077666667,1.092333333,1.114,1.138333333,1.168333333,1.201,1.237666667,1.268,1.301333333,1.330666667,1.360333333,1.387333333,1.405,1.435333333,1.455666667,1.469333333,1.49
SGRP_mTORinhibitsSCREEN_SET2_GDC_MGK_081917(fixed with adding wr,yML563-100 uM GDC0941,85.37442946,5.488488434,89.00051021,6.478726456,yML 563,YJM269,100 uM GDC0941,YJM269*100 uM GDC0941,0,0.039,0.051333333,0.058,0.062666667,0.076,0.091333333,0.097666667,0.118333333,0.142333333,0.178666667,0.223,0.282333333,0.350333333,0.434333333,0.525666667,0.630333333,0.742,0.856,0.973,1.070666667,1.157333333,1.223,1.283,1.337333333,1.374333333,1.399666667,1.427333333,1.453333333,1.476,1.499333333,1.522666667,1.546666667,1.566666667,1.588,1.607333333,1.626,1.646666667,1.666333333,1.679333333,1.693333333
SGRP_mTORinhibitsSCREEN_SET2_GDC_MGK_081917(fixed with adding wr,yML563-vehicle,75.78657109,4.319495476,80.92028859,0.654645142,yML 563,YJM269,2.5% DMSO,YJM269*2.5% DMSO,0,0.032,0.037666667,0.041333333,0.047333333,0.056,0.068,0.084,0.104333333,0.134,0.173,0.227666667,0.292666667,0.371333333,0.465666667,0.580333333,0.693666667,0.821,0.947333333,1.070333333,1.188333333,1.268333333,1.297,1.323333333,1.352,1.382,1.41,1.438,1.466333333,1.489333333,1.513333333,1.534666667,1.557,1.575333333,1.595,1.611666667,1.628666667,1.649,1.666,1.678,1.695333333
SGRP_mTORinhibitsSCREEN_SET2_GDC_MGK_081917(fixed with adding wr,yML564-100 uM GDC0941,,,,,yML 564,CLIB382,100 uM GDC0941,CLIB382*100 uM GDC0941,0,0.010666667,0.031,0.027333333,0.033666667,0.029333333,0.032666667,0.030333333,0.025666667,0.028666667,0.026,0.018333333,0.020666667,0.017666667,0.016666667,0.019333333,0.022,0.015,0.016,0.015333333,0.016,0.02,0.018,0.016666667,0.020666667,0.017333333,0.028333333,0.023,0.023,0.018333333,0.017666667,0.017333333,0.016666667,0.017666667,0.018,0.013666667,0.016666667,0.016,0.016333333,0.021,0.016666667
SGRP_mTORinhibitsSCREEN_SET2_GDC_MGK_081917(fixed with adding wr,yML564-vehicle,,,,,yML 564,CLIB382,2.5% DMSO,CLIB382*2.5% DMSO,0,0.002,0.001333333,0.003,0.001333333,0.001666667,0.002666667,0.002333333,0.001666667,0.001333333,0.001666667,0.002666667,0.003,0.001666667,0.001333333,0.002333333,0.002333333,0.003,0.002666667,0.002666667,0.002333333,0.001333333,0.002333333,0.002666667,0.002333333,0.001333333,0.002666667,0.002333333,0.002,0.001333333,0.002,0.002,0.002333333,0.003,0.002,0.001,0.002,0.002333333,0.001666667,0.001333333,0.001333333
SGRP_mTORinhibitsSCREEN_SET2_GDC_MGK_081917(fixed with adding wr,yML565-100 uM GDC0941,,,,,yML 565,CBS7960,100 uM GDC0941,CBS7960*100 uM GDC0941,0,0.025666667,0.034333333,0.036333333,0.039,0.04,0.040666667,0.039333333,0.033,0.037666667,0.034666667,0.022666667,0.028666667,0.021333333,0.023333333,0.027333333,0.032333333,0.025333333,0.027,0.025666667,0.025333333,0.031666667,0.028666667,0.025333333,0.032333333,0.023666667,0.039666667,0.036333333,0.036666667,0.029,0.029,0.024333333,0.025,0.031,0.032333333,0.020666667,0.028,0.024,0.032,0.039666667,0.032666667
SGRP_mTORinhibitsSCREEN_SET2_GDC_MGK_081917(fixed with adding wr,yML565-vehicle,,,,,yML 565,CBS7960,2.5% DMSO,CBS7960*2.5% DMSO,0,0.002666667,0.002,0.004,0.002,0.002,0.003333333,0.002666667,0.002333333,0.002333333,0.003,0.004,0.003333333,0.002333333,0.002,0.004,0.003,0.005333333,0.003333333,0.004,0.003666667,0.002,0.003,0.002666667,0.004,0.002,0.005,0.004,0.003333333,0.002333333,0.003,0.003666667,0.003666667,0.004333333,0.003,0.002333333,0.002,0.003666667,0.003,0.002333333,0.002333333
SGRP_mTORinhibitsSCREEN_SET2_GDC_MGK_081917(fixed with adding wr,yML566-100 uM GDC0941,,,,,yML 566,FM479,100 uM GDC0941,FM479*100 uM GDC0941,0,0.006666667,0.020333333,0.051,0.050666667,0.04,0.046333333,0.039,0.037,0.043666667,0.038666667,0.023666667,0.038,0.023333333,0.034333333,0.032,0.038666667,0.025666667,0.030333333,0.029,0.029333333,0.044,0.047,0.047,0.05,0.024666667,0.047,0.042,0.045666667,0.037666667,0.038,0.033,0.041,0.043666667,0.053,0.033666667,0.044333333,0.026666667,0.041666667,0.047,0.046333333
SGRP_mTORinhibitsSCREEN_SET2_GDC_MGK_081917(fixed with adding wr,yML566-vehicle,,,,,yML 566,FM479,2.5% DMSO,FM479*2.5% DMSO,0,0.002333333,0.001333333,0.003333333,0.002,0.002,0.003333333,0.002,0.002333333,0.002333333,0.002,0.003333333,0.002333333,0.002,0.002,0.003333333,0.003,0.004,0.003333333,0.003333333,0.003666667,0.001666667,0.002666667,0.002333333,0.003666667,0.001666667,0.003333333,0.002666667,0.002666667,0.001666667,0.002666667,0.002666667,0.003,0.003,0.003,0.001,0.001333333,0.002333333,0.002666667,0.001666667,0.002
